Seven (feat. Latto) (Explicit Ver.),"Latto,Major
vampire,Olivia Rodrigo,51
WHERE SHE GOES,Bad Bunny,65
Ella Baila Sola,"Eslabon Armado,Minor
fukumean,Gunna,85
un x100to,"Bad Bunny,Minor
Flowers,Miley Cyrus,Major
As It Was,Harry Styles,52
Cupid - Twin Ver.,Fifty Fifty,78
Classy 101,"Feid,Major
LADY GAGA,"Gabito Ballesteros,F
I Wanna Be Yours,Arctic Monkeys,48
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd,99
Calm Down (with Selena Gomez),"R��ma,Major
Last Night,Morgan Wallen,52
Rush,Troye Sivan,74
Creepin',"The Weeknd,C#
TQG,"Karol G,Minor
Fr��gil (feat. Grupo Front,"Yahritza Y Su Esencia,Major
Style,Taylor Swift,60
El Azul,"Junior H,Minor
I'm Good (Blue),"Bebe Rexha,Minor
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj,144
I Ain't Worried,OneRepublic,71
Starboy,"The Weeknd,G
El Cielo,"Feid,A#
AMARGURA,Karol G,92
Another Love,Tom Odell,Minor
Moonlight,Kali Uchis,64
S91,Karol G,86
T��,"dennis,Major
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth,D
Hey Mor,"Ozuna,Minor
Karma,Taylor Swift,64
Overdrive,Post Malone,56
BABY HELLO,"Rauw Alejandro,Minor
golden hour,JVKE,51
"Quevedo: Bzrp Music Sessions, Vol. 52",D
Here With Me,d4vd,58
Yandel 150,"Yandel,Minor
Riptide,Vance Joy,Major
Novidade na ��,"Mc Livinho,Major
STAY (with Justin Bieber),"Justin Bieber,Major
Someone You Loved,Lewis Capaldi,Major
Makeba,Jain,D
Fast Car,Luke Combs,71
Coco Chanel,"Bad Bunny,Major
Still With You,Jung Kook,53
Say Yes To Heaven,Lana Del Rey,49
Summertime Sadness,Lana Del Rey,Minor
Lover,Taylor Swift,43
Chemical,Post Malone,50
New Jeans,NewJeans,81
Cold Heart - PNAU Remix,"Dua Lipa,116
Bones,Imagine Dragons,77
Money Trees,"Kendrick Lamar,Minor
LAGUNAS,"Jasiel Nu��ez,Major
Everybody Wants To Rule The World,Tears For Fears,Major
Tattoo,Loreen,55
VAGABUNDO,"Sebastian Yatra,B
LUNA,"Junior H,Minor
Nonsense,Sabrina Carpenter,74
Por las Noches,Peso Pluma,81
Can't Hold Us (feat. Ray Dalton),"Ray Dalton,146
lovely - Bonus Track,"Billie Eilish,E
Queencard,(G)I-DLE,82
Radio,Lana Del Rey,42
505,Arctic Monkeys,52
Trance (with Travis Scott & Young Thug),"Travis Scott,C#
Perfect,Ed Sheeran,Major
Believer,Imagine Dragons,Minor
"Gol Bolinha, Gol Quadrado 2",B
QUEMA,"Sog,
Ojitos Lindos,"Bomba Est��reo,Minor
Those Eyes,New West,60
Mi Bello Angel,Natanael Cano,81
Danza Kuduro,"Don Omar,Major
Locked Out Of Heaven,Bruno Mars,73
Jimmy Cooks (feat. 21 Savage),"Drake,Major
Ghost,Justin Bieber,61
PRC,"Natanael Cano,Minor
One Dance,"Drake,104
Save Your Tears,The Weeknd,68
Every Breath You Take - Remastered 2003,The Police,82
We Found Love,"Rihanna,C#
Let Me Down Slowly,Alec Benjamin,65
Do I Wanna Know?,Arctic Monkeys,Major
������������,YOASOBI,57
Shake It Off,Taylor Swift,Major
SNAP,Rosa Linn,56
Night Changes,One Direction,67
Creep,Radiohead,Major
Apocalypse,Cigarettes After Sex,37
Pink + White,Frank Ocean,54
Just The Way You Are,Bruno Mars,Major
Bebe Dame,"Fuerza Regida,Major
Titi Me Pregunt�,Bad Bunny,65
Shut up My Moms Calling,Hotel Ugly,48
Es un Secreto,Plan B,84
Ditto,NewJeans,81
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne,1
Acr��s,Shakira,75
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh,E
Hits Different,Taylor Swift,67
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin,Major
Abcdario,"Junior H,Major
Pi��man De�,"Semicenk,Minor
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",135
Escapism.,"RAYE,Major
Karma (feat. Ice Spice),"Taylor Swift,Major
Las Morras,"BLESSD,Minor
Ch y la Pizza,"Fuerza Regida,Major
Players,Coi Leray,95
Stand By Me (feat. Morgan Wallen),"Lil Durk,Major
Hummingbird (Metro Boomin & James Blake),"James Blake,Major
Bad Habit,Steve Lacy,69
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey,Minor
Ni��a Bo,"Sean Paul,Major
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar,Major
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",0
Erro Gostoso - Ao Vivo,Simone Mendes,59
Just Wanna Rock,Lil Uzi Vert,49
Until I Found You,Stephen Sanchez,34
Easy On Me,Adele,60
Danger (Spider) (Offset & JID),"Offset,Major
The Real Slim Shady,Eminem,Minor
The Color Violet,Tory Lanez,65
Mejor Que Yo,"Mambo Kingz,C#
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers,Minor
Conex��es de M��fia (feat. Rich ,"Rich The Kid,Minor
Never Felt So Alone,Labrinth,44
ceilings,Lizzy McAlpine,51
I AM,IVE,68
Shorty Party,"Cartel De Santa,Major
Slut Me Out,NLE Choppa,94
All Of The Girls You Loved Before,Taylor Swift,72
Princess Diana (with Nicki Minaj),"Nicki Minaj,Major
Shivers,Ed Sheeran,79
Shoong! (feat. LISA of BLACKPINK),"TAEYANG,Minor
DESPECH�,ROSAL�,92
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore,B
Punto G,Quevedo,75
METAMORPHOSIS,INTERWORLD,59
En Paris,"El Chachito,Minor
I Was Never There,"The Weeknd,Major
Shut Down,BLACKPINK,82
Call Out My Name,The Weeknd,45
Rosa Pastel,"Jasiel Nu��ez,Minor
Lose Yourself - Soundtrack Version,Eminem,Major
Mas Rica Que Ayer,"Mambo Kingz,B
REMIX EXCLUSIVO,Feid,65
DOGTOOTH,"Tyler,Major
SORRY NOT SORRY,"Tyler,Minor
La Bebe,Yng Lvcas,78
Late Night Talking,Harry Styles,71
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande,Major
VOID,Melanie Martinez,72
Midnight Rain,Taylor Swift,64
You Proof,Morgan Wallen,73
Malas Decisiones,Kenia OS,81
Gangsta's Paradise,"Coolio,Major
I Love You So,The Walters,58
Say You Won't Let Go,James Arthur,Major
Heart To Heart,Mac DeMarco,90
Marisola - Remix,"Duki,0
Low,SZA,70
Tormenta (feat. Bad Bunny),"Gorillaz,Major
One Thing At A Time,Morgan Wallen,61
Ain���t Tha,Morgan Wallen,64
Private Landing (feat. Justin Bieber & Future),"Don Toliver,C#
Heaven,Niall Horan,57
Sial,Mahalini,56
"Apna Bana Le (From ""Bhediya"")","Arijit Singh,Major
PLAYA DEL INGL�,"Myke Towers,Minor
Red Ruby Da Sleeze,Nicki Minaj,70
Nobody Gets Me,SZA,36
Hype Boy,NewJeans,59
Monoton�,"Ozuna,Minor
WANDA,Quevedo,72
In The End,Linkin Park,Minor
Lovezinho,Treyce,82
Neverita,Bad Bunny,88
Sem Alian��a no ,"MC Xenon,Major
Revenge,XXXTENTACION,75
LA CANCI�,"J Balvin,Major
Love Again,The Kid Laroi,66
About Damn Time,Lizzo,84
���������������������,Fujii Kaze,60
Maan Meri Jaan,King,70
My Universe,"Coldplay,Major
LLYLM,ROSAL�,56
TRUSTFALL,P!nk,64
Boy's a liar,PinkPantheress,66
Shirt,SZA,82
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,64
Boy With Luv (feat. Halsey),"Halsey,Minor
Calm Down,R��,81
Escapism. - Sped Up,"RAYE,Minor
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS,
Mu��,"Steve Aoki,A#
I'm Not The Only One,Sam Smith,Major
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar,0
Sugar Rush Ride,TOMORROW X TOGETHER,71
WAIT FOR U (feat. Drake & Tems),"Drake,C#
After Dark,Mr.Kitty,58
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow,Minor
Atlantis,Seafret,40
Evoque Prata,"DJ Escobar,G
Blind,SZA,46
Doja,Central Cee,91
Rumble,"Skrillex,C#
Yonaguni,Bad Bunny,64
Running Up That Hill (A Deal With God),Kate Bush,63
Limbo,Freddie Dredd,80
WORTH NOTHING,"Twisted,Minor
KICK BACK,Kenshi Yonezu,58
Good Days,SZA,46
Woman,Doja Cat,82
Ferrari,"James Hype,Minor
"Kesariya (From ""Brahmastra"")","Pritam,
Payphone,"Maroon 5,E
Last Christmas,Wham!,Minor
Jingle Bell Rock,Bobby Helms,74
Santa Tell Me,Ariana Grande,46
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,45
Underneath the Tree,Kelly Clarkson,51
Holly Jolly Christmas,Michael Bubl�,65
Sleigh Ride,The Ronettes,53
Love Language,SZA,71
Used (feat. Don Toliver),"SZA,Minor
The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,36
Do They Know It's Christmas? - 1984 Version,Band Aid,60
Special,SZA,60
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra,Major
Open Arms (feat. Travis Scott),"SZA,Major
Driving Home for Christmas - 2019 Remaster,Chris Rea,51
Gone Girl,SZA,43
Notice Me,SZA,72
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como,G
Antidepresan,"Mabel Matiz,Minor
I Hate U,SZA,54
SPIT IN MY FACE!,ThxSoMch,70
Smoking on my Ex Pack,SZA,47
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift,Major
Tubar��o Te,"Dj LK da Esc��cia,130
Tarot,"Bad Bunny,Minor
Desesperados,"Chencho Corleone,Minor
Party,"Bad Bunny,Major
Jingle Bells - Remastered 1999,Frank Sinatra,51
On Time (with John Legend),"John Legend,Minor
���abcdefu,Gayle,70
Is There Someone Else?,The Weeknd,70
Out of Time,The Weeknd,65
We Don't Talk About Bruno,"Adassa,44
How Do I Make You Love Me?,The Weeknd,80
Infinity,Jaymes Young,67
Take My Breath,The Weeknd,70
"Here We Go��� Again (feat. Tyler, the Cr",135
Kiss Me More (feat. SZA),"SZA,Major
Need To Know,Doja Cat,66
love nwantiti (ah ah ah),Ckay,74
Surface Pressure,Jessica Darrow,65
THATS WHAT I WANT,Lil Nas X,74
Beggin,M��ne,71
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas,E
The Motto,"Ti��sto,Minor
Moth To A Flame (with The Weeknd),"The Weeknd,Minor
Toxic,BoyWithUke,59
Malvad��,"Xam��,F#
Don���t Break My,The Weeknd,77
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah,170
I AM WOMAN,Emmy Meli,65
It'll Be Okay,Shawn Mendes,40
Super Gremlin,Kodak Black,83
Todo De Ti,Rauw Alejandro,81
Smokin Out The Window,"Bruno Mars,D
Every Angel is Terrifying,The Weeknd,44
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber,
"Tiago PZK: Bzrp Music Sessions, Vol. 48",C#
Nost��l,"Chris Brown,A
Life Goes On,Oliver Tree,70
Butter,BTS,79
You Right,"Doja Cat,Major
Dynamite,BTS,75
Lost in the Fire,"The Weeknd,Major
Volando - Remix,"Sech,F#
Knife Talk (with 21 Savage ft. Project Pat),"Drake,F
Love Grows (Where My Rosemary Goes),Edison Lighthouse,53
The Family Madrigal,"Olga Merediz,C#
Dos Oruguitas,Sebastian Yatra,42
Acapulco,Jason Derulo,77
thought i was playing,"21 Savage,Major
Mood (feat. Iann Dior),"24kgoldn,Minor
DANCE CRIP,Trueno,86
happier,Olivia Rodrigo,39
Get Into It (Yuh),Doja Cat,91
Sky,Playboi Carti,79
Sobrio,Maluma,76
favorite crime,Olivia Rodrigo,40
The Business,Ti��,80
I WANNA BE YOUR SLAVE,M��ne,75
The Feels,TWICE,81
No Lie,"Sean Paul,G
Pope Is a Rockstar,SALES,73
Bored,Billie Eilish,60
Astronaut In The Ocean,Masked Wolf,78
Every Summertime,NIKI,63
you broke me first,Tate McRae,64
Take My Breath,The Weeknd,75
C��,Rauw Alejandro,77
Dance Monkey,Tones and I,Minor
Qu�� M��,"J Balvin,Major
Smells Like Teen Spirit - Remastered 2021,Nirvana,Major
Fair Trade (with Travis Scott),"Drake,Major
The Rumbling (TV Size),SiM,41
Mr. Brightside,The Killers,Major
AM Remix,"J Balvin,F#
Shallow,"Lady Gaga,G
Leave Before You Love Me (with Jonas Brothers),"Marshmello,Major
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton,123
'Till I Collapse,"Eminem,C#
Se Le Ve,"Arcangel,0
When I���m Gone (with Katy ,"Katy Perry,Major
Mi��n,"Tini,Major
MAMIII,"Karol G,Minor
Stay Alive (Prod. SUGA of BTS),Jung Kook,51
The Joker And The Queen (feat. Taylor Swift),"Ed Sheeran,Major
Light Switch,Charlie Puth,69
Brividi,"Mahmood,Major
In Da Club,50 Cent,Minor
Ginseng Strip 2002,Yung Lean,60
Notion,The Rare Occasions,31
Mount Everest,Labrinth,46
Cigarettes,Juice WRLD,60
California Love - Original Version (Explicit),"Dr. Dre,92
Down Under (feat. Colin Hay),"Luude,Minor
HUMBLE.,Kendrick Lamar,Minor
Contection,"GODZZ__-,Minor
A Tu Merced,Bad Bunny,86
212,"Mainstreet,Minor
Bussin,"Nicki Minaj,Major
Malvada,Z�� Fe,89
Alien Blues,Vundabar,47
Still Don't Know My Name,Labrinth,31
Mal Feito - Ao Vivo,"Mar��lia Mendon��a,Minor
Do We Have A Problem?,"Nicki Minaj,Minor
Gospel (with Eminem),"Eminem,Major
NEW MAGIC WAND,"Tyler,Minor
La Santa,"Daddy Yankee,Major
Sweetest Pie,"Dua Lipa,Major
Una Noche en Medell�,Cris Mj,87
Starlight,Dave,95
"I'm Tired - From ""Euphoria"" An Original HBO Series",Labrinth,28
Yo Voy (feat. Daddy Yankee),Zion & Lennox,81
Jordan,Ryan Castro,80
Chale,Eden Mu��,55
Ya No Somos Ni Seremos,Christian Nodal,59
Freaky Deaky,"Tyga,Minor
La Zona,Bad Bunny,76
Hope,XXXTENTACION,59
Wake Me Up - Radio Edit,Avicii,Major
Mon��y so,YEAT,69
Something Just Like This,"The Chainsmokers,B
O.O,NMIXX,39
Tom's Diner,"AnnenMayKantereit,Minor
Plan A,Paulo Londra,58
X ��LTIMA,"Daddy Yankee,Major
In My Head,Lil Tjay,68
LOVE DIVE,IVE,70
Chance,Paulo Londra,72
psychofreak (feat. WILLOW),"Camila Cabello,Minor
Vampiro,"Matu��,G#
Right On,Lil Baby,70
That's Hilarious,Charlie Puth,71
RUMBAT�,Daddy Yankee,69
Falling,Harry Styles,57
Fim de Semana no Rio,teto,87
There's Nothing Holdin' Me Back,Shawn Mendes,Major
Golden,Harry Styles,45
Ain't Shit,Doja Cat,86
Still Life,BIGBANG,68
Love Yourself,Justin Bieber,Major
About Damn Time,Lizzo,84
Despu��s de la P,Bad Bunny,56
United In Grief,Kendrick Lamar,52
Yo No Soy Celoso,Bad Bunny,87
Cooped Up (with Roddy Ricch),"Post Malone,Major
Silent Hill,"Kendrick Lamar,Minor
Count Me Out,Kendrick Lamar,78
Dos Mil 16,Bad Bunny,82
Savior,"Kendrick Lamar,G#
Otro Atardecer,"Bad Bunny,Major
Aguacero,Bad Bunny,86
Un Verano Sin Ti,Bad Bunny,50
Ens����ame ,Bad Bunny,81
Callaita,"Bad Bunny,Major
Agosto,Bad Bunny,85
Mr. Morale,"Kendrick Lamar,Major
In The Stars,Benson Boone,36
SUPERMODEL,M��ne,64
Thousand Miles,The Kid Laroi,38
Auntie Diaries,Kendrick Lamar,43
Mirror,Kendrick Lamar,66
"Paulo Londra: Bzrp Music Sessions, Vol. 23",
Pasoori,"Shae Gill,Minor
TUS L��GR,"Sech,Major
I Tried to Tell Y'all,"Ugly Dray,Major
ZOOM,Jessi,87
FEARLESS,LE SSERAFIM,86
SPACE MAN,Sam Ryder,47
Iris,The Goo Goo Dolls,32
San Lucas,Kevin Kaarl,58
Good Looking,Suki Waterhouse,37
Yet To Come,BTS,56
Music For a Sushi Restaurant,Harry Styles,72
For Youth,BTS,63
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,80
Potion (with Dua Lipa & Young Thug),"Calvin Harris,B
Little Freak,Harry Styles,56
True Love,"Kanye West,Minor
Pass The Dutchie,Musical Youth,73
Love Of My Life,Harry Styles,56
So Good,Halsey,63
Keep Driving,Harry Styles,72
Die Young (feat. 347aidan),"Sleepy hallow,Major
Hold My Hand,Lady Gaga,51
Numb,"Marshmello,Minor
Me and Your Mama,Childish Gambino,56
SLOW DANCING IN THE DARK,Joji,52
Boyfriends,Harry Styles,42
Tak Ingin Usai,Keisya Levronka,49
Master of Puppets (Remastered),Metallica,54
ULTRA SOLO REMIX,"De La Ghetto,0
Betty (Get Money),Yung Gravy,73
POP!,Nayeon,80
MORE,j-hope,78
Last Last,Burna Boy,80
Sticky,Drake,88
Ai Preto,"L7nnon,F#
die first,Nessa Barrett,44
Baile no Morro,"Mc Vitin Da Igrejinha,D#
Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg,
Caile,Luar La L,70
GIVENCHY,Duki,61
Mary On A Cross,Ghost,47
THE SHADE,Rex Orange County,90
El Rescate,"Grupo Marca Registrada,Minor
"Stay With Me (with Justin Timberlake, Halsey,1
JGL,"Luis R Conriquez,Major
Pipoco,"Melody,G#
Forget Me,Lewis Capaldi,67
Bound 2,Kanye West,37
Talk that Talk,TWICE,77
Ferxxo 100,Feid,70
Prohibidox,Feid,65
The Scientist,Coldplay,Major
Talk,YEAT,70
Selfish,PnB Rock,64
Lady Mi Amor,Feid,78
THE LONELIEST,M��ne,52
BABY OTAKU,"Fran C,102
Miss You,Southstar,66
2 Be Loved (Am I Ready),Lizzo,72
Typa Girl,BLACKPINK,92
California Breeze,Lil Baby,74
Casei Com a Putaria,"MC Ryan SP,A#
Pussy & Millions (feat. Travis Scott),"Drake,E
Question...?,Taylor Swift,75
Mastermind,Taylor Swift,66
Labyrinth,Taylor Swift,48
Sweet Nothing,Taylor Swift,34
Con La Brisa,"Ludwig Goransson,Minor
The Astronaut,Jin,54
Broke Boys,"Drake,Major
My Mind & Me,Selena Gomez,60
A Veces (feat. Feid),"Feid,Major
Alone,Burna Boy,61
